,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,
1,-0.000163442,0.000146267,-0.006037105,0.009812886,2.43E-23,-0.004169912,0.022229993,-0.001467298,0.011275179,-0.00612101,0.009770438,-0.000753655,0.000895166,-0.030291371,0.005135326,-0.010355267,0.406483774,-0.003797208,0.072842698,-0.033813133,1
2,-5.60E-05,1.57E-05,-0.000708593,0.001422073,-3.31E-17,4.61E-05,0.00105258,0.000351756,9.42E-05,0.000470239,-0.00054738,0.000151734,-7.90E-05,0.000531575,-0.00014297,-8.93E-06,-0.00039091,0.001275508,0.00149696,0.000135222,2
3,1.83E-16,2.57E-16,0,-6.94E-16,1.59E-16,4.09E-16,-1.36E-15,1.09E-16,-2.50E-16,2.91E-16,-1.39E-17,1.11E-15,-2.13E-16,-2.36E-16,-3.63E-16,4.86E-17,1.67E-16,-3.51E-16,-1.75E-16,1.05E-15,3
4,-0.00171128,0.003887592,-0.022964288,0.05533164,1.65E-16,-0.032387462,-0.025418003,-0.085133531,-0.037384883,-0.110974801,-0.015386131,0.003050433,-0.017541411,-0.010455772,0.010769748,-0.030532029,-0.006497138,-0.022112789,-0.017473149,-0.007331881,4
5,-0.36852986,-0.000878562,0.012230411,-0.029771894,3.05E-17,0.001119994,0.00051161,-0.006217528,-0.001712656,-0.003411049,0.001086835,-0.000429198,0.000657292,-0.00263634,0.009641595,-0.001210686,0.003014711,0.002076948,-0.010187199,0.005346865,5
6,-1.11E-15,-2.78E-17,-6.11E-16,-1.14E-15,-4.80E-17,1.39E-16,-5.55E-16,0,-8.60E-16,5.55E-16,-8.33E-17,-6.77E-17,2.62E-16,-5.55E-16,2.12E-16,1.39E-17,1.60E-16,-1.94E-16,3.89E-16,-3.75E-16,6
7,-0.001860901,0.000421291,-0.012874487,0.039635503,-4.88E-17,-0.002056975,-0.002101297,0.017797652,-0.000891715,0.017121834,-0.001287432,7.27E-05,-0.001157779,0.008576865,-0.013633965,0.004410775,0.005821049,0.022564317,-0.042288581,0.005823582,7
8,-0.001503458,0.000223283,-0.047029946,-0.000107109,1.27E-16,-0.004142852,0.03271882,0.017237046,0.20703449,-0.055521222,-0.122002346,0.050678026,-0.008071396,-0.006490502,-0.002764858,-0.000804019,-0.018358194,-0.007525456,0.002702492,-0.001287674,8
9,-0.000427317,0.00014242,-0.003362369,0.010271276,-9.36E-17,-8.90E-05,-0.000917297,0.001634715,-0.000688684,0.001799057,-0.001357898,0.000293719,0.003578389,-0.005184665,0.000267416,5.93E-05,0.007954502,0.014992593,-0.039111309,0.022869296,9
10,-0.000139291,9.10E-05,-0.001892136,0.004891221,1.64E-17,-0.001176094,-7.14E-05,-4.91E-05,-0.000426591,-0.000547602,-0.000794907,0.000223262,0.00049078,0.000886163,0.004609136,-0.001393949,0.000496103,0.004693016,-0.00382005,0.006917663,10
11,-3.37E-05,5.05E-05,-0.000530854,0.001490932,-8.30E-17,-0.000568837,-0.000503804,-0.001274993,-0.000668483,-0.00161105,-0.000362253,6.95E-05,-0.000218075,-4.35E-05,0.000645103,-0.000280067,8.63E-05,0.00092756,-0.003446963,0.000181219,11
12,-0.000463926,0.001002038,-0.008167197,0.016100454,5.15E-17,-0.008638576,0.050841081,-0.0074883,0.079464453,-0.050717239,0.173513997,-0.036505856,0.013231195,-0.010109286,-0.01254768,0.003543125,-0.014914703,0.008268396,-0.012195138,-0.017824573,12
13,-0.000200749,0.000203916,-0.008260294,0.005623793,-1.27E-16,-0.002934071,0.002577773,-0.002822199,0.009532595,-0.009002951,-0.006482236,0.002935891,-0.001056893,-0.004249111,-0.003381849,-0.003421115,0.082565394,0.00025387,0.00245795,-0.004077411,13
14,3.47E-18,6.66E-16,-5.55E-17,-3.89E-16,3.06E-17,-7.63E-17,-8.33E-17,-3.99E-16,-2.78E-17,-1.06E-15,-7.22E-16,-2.88E-16,-4.02E-16,5.55E-16,-2.78E-17,-1.04E-16,-1.25E-16,1.43E-17,5.00E-16,1.73E-16,14
15,-4.10E-05,1.38E-05,-0.002521726,0.000802106,-2.00E-17,-0.000783556,0.004386085,0.002247519,0.052809725,-0.014255185,-0.172677112,-0.679339807,0.003162814,0.000956327,-2.14E-05,-0.001553365,0.001097237,-0.000138518,0.00063924,-0.00015117,15
16,-0.002025094,0.000534489,-0.016289038,0.04615286,-1.09E-16,-0.005629858,0.002173708,0.020570409,0.001698963,0.022274675,0.003067001,-0.000838317,-0.002538324,0.021421936,0.06098409,-0.006114938,-0.004726035,-0.015347981,0.018778663,-0.011434884,16
17,-0.006722486,0.003858201,-0.032439357,0.084802018,-6.71E-17,-0.030652085,-0.023746601,-0.056583765,-0.035217034,-0.078649463,-0.012511686,0.001970163,-0.018849824,-0.007390007,-0.028611682,-0.016303645,-0.013431371,-0.046503016,0.021128146,-0.032184398,17
18,-0.000687986,0.000120178,-0.00722706,0.028620224,7.89E-18,0.190106408,0.001772539,-0.031399858,-1.33E-05,-0.014965815,0.000207757,3.15E-06,0.000621225,-0.004284272,0.004018523,-0.000617139,0.000377067,-0.016541486,0.004184008,-0.005594799,18
19,-0.002524692,0.00035739,-0.071770234,-0.000224163,-1.58E-16,-0.00588972,0.046060104,0.024108001,0.284341232,-0.075976596,-0.163010479,0.067227449,-0.010634249,-0.008299305,-0.003253328,-0.000941429,-0.020214539,-0.007670132,0.00275666,-0.001274869,19
20,3.18E-22,-1.08E-19,8.24E-18,1.04E-17,-5.60E-16,1.55E-15,-2.78E-17,-1.67E-16,-4.23E-16,-3.47E-16,-1.11E-15,-4.27E-16,-2.26E-16,-9.44E-16,-1.67E-16,3.05E-16,-2.84E-16,-2.23E-15,5.66E-15,7.97E-15,20
21,-0.003801127,0.000599146,-0.017539008,0.053789809,1.48E-16,-0.00591912,-0.00340597,0.021523701,-0.003009437,0.020594884,-0.001328645,-8.19E-05,0.001726779,0.001693605,-0.042344862,0.010218798,0.008071564,0.005718023,-0.029830452,0.015084755,21
22,-0.000162931,0.000226923,-0.003383983,0.007767095,2.30E-17,-0.003805953,-0.002373879,-0.008889148,-0.001448865,-0.008846166,-0.002835071,0.00085602,-0.001538781,-0.001891193,0.000395005,0.00339052,0.027435204,-0.004135744,-0.011608832,0.003517928,22
23,-0.000357098,0.491344026,0.005821653,-0.011681488,-5.74E-17,0.003822354,0.001172605,0.007640754,0.001358832,0.010393261,-0.002733968,0.000588862,0.001058132,0.000344234,-0.00132143,0.00200392,0.00071184,0.001122605,0.001011729,0.000498108,23
24,-0.001918435,0.000266566,-0.00363756,0.010509248,-1.86E-17,-0.002323126,0.003580788,0.002847805,0.005953772,-0.00133112,0.015696788,-0.003421728,0.000685068,0.002520187,0.007109864,-0.001840206,-0.001233599,0.0046347,0.000792532,-0.003869272,24
25,2.58E-25,6.88E-22,2.37E-20,3.25E-19,2.29E-16,-2.08E-17,-1.32E-16,-6.94E-17,-2.22E-16,-4.27E-16,3.33E-16,-1.91E-17,2.09E-16,2.78E-17,-6.11E-16,-3.33E-16,-1.39E-17,-8.04E-17,-1.04E-16,1.11E-16,25
