id;company;location;dates;job;position;summary;pros;cons;advice-to-mgmt;overall-ratings;work-balance-stars;culture-values-stars;carrer-opportunities-stars;comp-benefit-stars;senior-mangemnet-stars;helpful-count
35840;netflix;; Oct 22, 2018;Current  ;Anonymous Employee;Executive Assistant;Open communication. Top of market pay. Extremely good tech.;Very meeting heavy, which isn't a con, but does take up time.;Please continue to do what you've been doing.;5;4;5;5;4;4;2
35841;netflix;; Sep 20, 2018;Current  ;Anonymous Employee;How much does a functioning human cost?;;"I have been working for a year at Netflix.  I've seen what was supposed to be very mature people, sharing absolutely almost no contact that anyone would qualify as ""human"". Sure, that sounds hyperbolic, let me develop (and maybe cherry-pick a little).  Have you heard about our culture? The one about giving candid feedback? - I have seen people complaining of behavior they literally demonstrated themselves in the following days. But I have also seen these feedbacks resulting in tears both in the eyes of HR persons or fellow engineers. How human does that sound?  Have you heard about our culture? The one about not tolerating brilliant jerks? I have theless seen angriness and frustration, expressed in private, public and meeting. People rejecting new ideas by default, like, any ideas they wouldn't have worked themselves on for days wouldn't count. Even if those ideas are from the best examples in the industry or academics. How many publications/contributions have you seen from Netflix to computer science in general? How does it compare against any other company of that size in the Bay Area? Can you imagine either the real insecurity (x)or the lack of innovation that could lead to this situation?  Except for a few managers, directors or VPs feeling free enough to behave at work in the same way than how they live, almost every engineer I have been interacting with, have shared as little as possible about their private life. The rare exceptions of interpersonal exchange ends up around some sort of competitive behavior: Who is the most geeky, sportive, owns the fastest car/biggest house/visited the strangest place.  I've heard workaholic people complaining about ambitious peers who were over-managing, over-working to get even more work to do after. I feel like we're past workaholism at this point.  Maybe there are a lot of shy people! Maybe there is a culture of fear, not only of being fired, but also a fear of interacting with people going to be fired. Maybe it's all in my head, maybe people giving 5 stars to their experience here dont care the human aspect of a company. And maybe they're right.  What about your crush, your fears, your desires for the future, your appetite for life? I've been blessed to work in enough large companies to know that the behavior that I'm seeing in Netflix is not a healthy one. I've also been lucky enough to work in other industries more socializing than tech and I can tell that Netflix has a lot to do on that side, and off-sites or team meeting won't solve that problem.  I am afraid about the tragic, but inevitable consequences of the ways people operate in this company: I guess that the day the worst will happen, it will be addressed in an impersonal memo by Reed, followed-up by 1 or 2 reminders during offsites. Possibly commented by HR in a Q&A document. And move on. This company seems as reactive in its management of people as it is proactive in its business operations.  I still work at Netflix though, not only for the paycheck, but because I hope. I hope it will change. The needed change can't happen from a candid feedback, a Q&A, or only from inside. Change has to come from everyone, including people who take time to read comments like this one. Netflix has so many good people and offers such a great service.  As a curious Netflix employee reading this review: think about your past, isn't there a big human thing that you would love to feel again in your current company that you've felt in the past?  As a candidate: think about what would be a good question to ask to that HR partner once your package is almost here to be offered to you, think about that comment you make at the end of an interview when you're being asked by an engineer: ""Do you have any question for me?"" What Netflix needs is an inception, something that anyone and everyone would think about after leaving the call or the room they were sharing with you. Ask yourself, and then the others, the question you should ask if you think you want to spend a good amount of your life and energy in the place you're applying for.  - Will I learn and contribute to the knowledge of other's? Even outside the company? - Will I see emotional responses from my peers? Will that be for other reasons than being fired or bluntly criticized? - Will I find a friendly environment that will nurture my appetite for life? - What is the amount of emotional interaction (celebrating, sharing, playing) to expect from a company whose service is the best to ""entertain""? - Do androids dream of electric sheep?";Ask yourself those questions;3;2;1;5;5;4;52
35842;netflix;; Dec 5, 2018;Former  ;Anonymous Employee;QA Tester Contractor;Great personalities, great work culture, free food, great tech help; really at all at the moment;;5;;;;;;1
35843;netflix;Los Angeles, CA; Nov 30, 2018;Former  ;Video Editor;Netflix Editor;Excellent Projects with Pros from throughout the Entertainment Industry;Still setting the feel of the company;;5;4;3;4;4;3;0
35844;netflix;; Nov 26, 2018;Former  ;Anonymous Employee;I love it;It was great and i loved it;Not enough free snack especially chips;;5;5;5;5;5;5;0
35845;netflix;; Dec 10, 2018;Former  ;Anonymous Employee;Ok;Many great people to work with and learn from;Lack of accountability for management;;2;3;1;1;5;1;0
35846;netflix;Los Angeles, CA; Oct 29, 2018;Current  ;Anonymous Employee;Great company, with some growing pains;When they say that Netflix chooses stunning colleagues, they are not kidding: I am constantly impressed with the smart, thoughtful people I work with on a daily basis. I love the company's focus on Inclusion & Diversity (and, I honestly notice it often, by looking around the room and seeing faces like mine in every meeting), and I am continually impressed at how the company adheres to these principles. The transparency is usually great, and it's fun to be a part of an exciting, growing company. The salary is exceptional, and the benefits are also excellent (note: hourly employees get slightly less in terms of benefits, but it's still great).  There's a lot of freedom here to set your schedule and work around personal commitments if you need to (e.g. my kid has a doctor's appointment, I will be WFH, etc.), as well as to make decisions that benefit the company, your team, etc.  The culture deck is intimidating when you first read it, but I have found that it's pretty right on - there are some things that I think are not adhered to quite as often as it says, but overall, it's on point.;"Work life balance is a thing, but I do think a lot of it is how well you defend your boundaries - I work a couple of hours of OT a week, and I am generally ""on call"" in the sense that I will check my email after hours, but I am not expected to work at off hours - in fact, my manager specifically tells me to wait until I am back at work to complete things. I do think upper management works very long hours, and that can lead to burn-out. The flip side of this is that there is a lot of flexibility to take vacation/personal time, and people trust you if you need to take some time for doctor's appointments, stuff for your kids, WFH, etc.  The firing culture doesn't seem to touch ICs as much as it does management. It is scary sometimes to see those messages come through, but the leaders do try to set context and make themselves available for comments, questions, concerns, etc.  I do think the whole concept of good ideas coming from anywhere is true to some extent, but it definitely depends on the team and the leader to whom you are pitching things. You have to be smart about choosing the right time/people.  The onboarding/training needs a lot of work. Not having a solid training for new hires was stressful and alienating. I spent the first few months wondering if I had made the right choice by coming here, but I am a year in, and feeling much more comfortable. They say it takes about 3 months to feel like you are not drowning, and 6 months to feel like you understand everything - that feels pretty accurate to me.";Bolster your training for new managers (especially when they are hired from outside the company).;4;4;5;4;5;4;8
35847;netflix;; Nov 18, 2018;Former  ;Anonymous Employee;Operations Manager;Great Benefits, pay, location, with great management;Dvd business continuing to decline.;;5;5;5;5;5;5;0
35848;netflix;Los Gatos, CA; Oct 11, 2018;Former  ;Anonymous Employee;Culture of fear is real, tone deaf culture that ignores any voices that doesn't sound like their echo chamber;- Great place if you love a high base salary. - There's free food. - Benefits are decent.;- The culture of fear that's been talked about by some of the other reviewers is absolutely real and persistent at Netflix. People pretend it doesn't apply to them or they dont feel the fear (and will lie in meetings when asked about it), but deep down, ;"""Diversity and inclusion"" should really mean diversity of thought. Right now, what you have is people who look different, but think the exact same.";2;2;1;3;4;2;35
35849;netflix;London, CA; Nov 8, 2018;Former  ;N/A;Very friendly;Lovely staff very great career opportunities loved working here;Poor career development opportunity yes;idk just writing this review so i can get access to ur staff reviews for my report cheers;4;4;4;4;3;3;0
35850;netflix;Salt Lake City, UT; Nov 20, 2018;Former  ;Tier III/Technical Research Analyst;Tier 3 / TRA;They pay above market averages and, provide great benefits.;While they really sell their company culture, and constantly discuss using good judgement, they really want you to do things the way they think it should be done. Your good judgement is only good if you follow their opinion of good judgement. Even if you have a good reason to do something differently, its not okay.  Their policy of fail well means you can make a mistake once. not twice. Terminations are frequent, and abrupt. In the last 6-8 months they have termed 3 supervisors, and about 15-18 people. There is a higher than average rate of churn here.  While they pay high wages, and provide low cost benefits this is done as a way to make everyone replaceable. It makes it easy to attract new employees.  Earlier this year they also announced plans to change tier 1/2 support from internal netflix employees to contracted employees with a call center provider.;Work to reduce churn rate to keep quality employees.;2;2;2;1;5;2;1
35851;netflix;Salt Lake City, UT; Oct 22, 2018;Former  ;Anonymous Employee;Customer Service Agent;Great benefits and pay. Wonderful people to work with. Onsite cafe. Flexible scheduling.;"No formalized QA process. What one supervisor loves and recommends you do will get you fired with the next supervisor. It's totally subjective and you never see any documentation of how you are being graded. Currently the only 2 stats are average handle time and return contact rate. You can be exceeding expectations on both and still be fired for ""not providing an amazing customer experience"" which could be as simple as your supervisor doesn't think your tone of voice is positive enough. Your supervisor can and will sometimes listen to every call you took in a day to find something you did wrong to fire you over. You will never see anything in writing on any monitor including the one that gets you fired.";You pride yourself as a company on clarity. Set clear QA standards in writing that are consistent from one sup to the next and have open documentation of more than just what the sup wants you to work on for that week;4;4;4;4;5;4;5
35852;netflix;Los Angeles, CA; Oct 31, 2018;Current  ;Physical Production Coordinator;Physical Production Coordinator;Overall, great perks. They take care of their employees. You get paid top of market which makes it difficult to consider working anywhere else. Flexibility with your schedule. No set start time or end time. Ease of working from home. Transparency of work being done at every level. You get to have insight on a lot. Ability to give and receive feedback and it's a part of the culture.;You are always expected to perform highly, they create that environment of uneasiness. You can't be human and have bad days or go through personal issues that sometimes affect you, you know, the ones that happen in real life. You literally eat and breathe Netflix. Work life balance is based on your team culture and your boss. At the end of the day what your boss says, goes. HR doesn't do a great job at managing team energy. They do whatever the boss in that team thinks is right. Which is very anti Netflix culture.;If you want to claim to have transparency, you should;3;1;5;2;5;1;5
